word;image;image_html;english;spanish;portuguese;french;french_audio;french_audio_html;chinese_simplified;chinese_pinyin;chinese_jyutping;hindi;arabic;russian;bengali;japanese
gray;vocab-gray.jpg;"<img src=""vocab-gray.jpg"">";gray;gris;cinza;grise;vocab-french-grise.mp3;[sound:vocab-french-grise.mp3];灰色的;huīsè de;fūisīk dīk;धूसर;رمادي;серый;ধূসর;グレー
green;vocab-green.jpg;"<img src=""vocab-green.jpg"">";green;verde;verde;vert;vocab-french-vert.mp3;[sound:vocab-french-vert.mp3];绿色;lǜsè;luksīk;हरा;لون أخضر;зеленый;সবুজ;緑
ground;vocab-ground.jpg;"<img src=""vocab-ground.jpg"">";ground;suelo;terra;sol;vocab-french-sol.mp3;[sound:vocab-french-sol.mp3];地面;dìmiàn;deimin;भूमि;أرض;земля;স্থল;接地
grow;vocab-grow.jpg;"<img src=""vocab-grow.jpg"">";grow;crecer;crescer;grandir;vocab-french-grandir.mp3;[sound:vocab-french-grandir.mp3];生长;shēngzhǎng;sāngzóeng;बढ़ना;تنمو;расти;হত্তয়া;育ちます
gun;vocab-gun.jpg;"<img src=""vocab-gun.jpg"">";gun;pistola;arma de fogo;arme à feu;vocab-french-arme à feu.mp3;[sound:vocab-french-arme à feu.mp3];枪;qiāng;cōeng;बंदूक;بندقية;пистолет;বন্দুক;銃
hair;vocab-hair.jpg;"<img src=""vocab-hair.jpg"">";hair;cabello;cabelo;cheveux;vocab-french-cheveux.mp3;[sound:vocab-french-cheveux.mp3];头发;tóufa;tàufâat;बाल;شعر;волосы;চুল;ヘア
half;vocab-half.jpg;"<img src=""vocab-half.jpg"">";half;medio;metade;demi;vocab-french-demi.mp3;[sound:vocab-french-demi.mp3];半;bàn;bûn;आधा;نصف;половина;অর্ধেক;ハーフ
hand;vocab-hand.jpg;"<img src=""vocab-hand.jpg"">";hand;mano;mão;main;vocab-french-main.mp3;[sound:vocab-french-main.mp3];手;shǒu;sáu;हाथ;يسلم;рука;হাত;手
hang;vocab-hang.jpg;"<img src=""vocab-hang.jpg"">";hang;colgar;pendurar;accrocher;vocab-french-accrocher.mp3;[sound:vocab-french-accrocher.mp3];悬挂;xuánguà;jyùngwâa;लटकना;يشنق;вешать;ফাঁসি দেত্তয়া;ハング
happy;vocab-happy.jpg;"<img src=""vocab-happy.jpg"">";happy;feliz;feliz;heureux;vocab-french-heureux.mp3;[sound:vocab-french-heureux.mp3];快乐的;kuàilè de;fâailok dīk;शुभ स;السعيدة;счастливый;সুখী;ハッピー
hard;vocab-hard.jpg;"<img src=""vocab-hard.jpg"">";hard;difícil;difícil;difficile;vocab-french-difficile.mp3;[sound:vocab-french-difficile.mp3];难的;nán de;nàan dīk;कठिन;الصعب;жесткий;কঠিন;ハード
hat;vocab-hat.jpg;"<img src=""vocab-hat.jpg"">";hat;sombrero;chapéu;chapeau;vocab-french-chapeau.mp3;[sound:vocab-french-chapeau.mp3];帽子;màozi;mouzí;टोपी;قبعة;шляпа;টুপি;帽子
he;vocab-he.jpg;"<img src=""vocab-he.jpg"">";he;él;ele;il;vocab-french-il.mp3;[sound:vocab-french-il.mp3];他;tā;tāa;उसने;هو;он;তিনি;彼
head;vocab-head.jpg;"<img src=""vocab-head.jpg"">";head;cabeza;cabeça;tête;vocab-french-tête.mp3;[sound:vocab-french-tête.mp3];头;tóu;tàu;सिर;رأس;голова;মাথা;頭
healthy;vocab-healthy.jpg;"<img src=""vocab-healthy.jpg"">";healthy;saludable;saudável;sain;vocab-french-sain.mp3;[sound:vocab-french-sain.mp3];健康;jiànkāng;ginhōng;स्वस्थ;مفيد للصحة;здоровый;সুস্থ;元気
hear;vocab-hear.jpg;"<img src=""vocab-hear.jpg"">";hear;oír;ouvir;écouter;vocab-french-écouter.mp3;[sound:vocab-french-écouter.mp3];听到;tīngdào;tēngdôu;सुनो;يسمع;слышать;শোনা;聞く
heart;vocab-heart.jpg;"<img src=""vocab-heart.jpg"">";heart;corazón;coração;cœur;vocab-french-cœur.mp3;[sound:vocab-french-cœur.mp3];心;xīn;sām;दिल;قلب;сердце;হৃদয়;ハート
heat;vocab-heat.jpg;"<img src=""vocab-heat.jpg"">";heat;calor;calor;chaleur;vocab-french-chaleur.mp3;[sound:vocab-french-chaleur.mp3];热;rè;jit;तपिश;الحرارة;высокая температура;তাপ;熱
heaven;vocab-heaven.jpg;"<img src=""vocab-heaven.jpg"">";heaven;paraíso;paraíso;paradis;vocab-french-paradis.mp3;[sound:vocab-french-paradis.mp3];天堂;tiāntáng;tīntòng;स्वर्ग;جنة;рай;নন্দনকানন;パラダイス
heavy;vocab-heavy.jpg;"<img src=""vocab-heavy.jpg"">";heavy;pesado;pesado;lourd;vocab-french-lourd.mp3;[sound:vocab-french-lourd.mp3];重的;chóng de;cùng dīk;हैवी;ثقيل;тяжелый;ভারী;ヘビー
hell;vocab-hell.jpg;"<img src=""vocab-hell.jpg"">";hell;infierno;inferno;enfer;vocab-french-enfer.mp3;[sound:vocab-french-enfer.mp3];地狱;dìyù;deijuk;नरक;الجحيم;ад;জাহান্নাম;地獄
here;vocab-here.jpg;"<img src=""vocab-here.jpg"">";here;aquí;aqui;ici;vocab-french-ici.mp3;[sound:vocab-french-ici.mp3];这里;zhèlǐ;zélěoi;यहां;هنا;здесь;এখানে;ここに
high;vocab-high.jpg;"<img src=""vocab-high.jpg"">";high;alto;alto;haut;vocab-french-haut.mp3;[sound:vocab-french-haut.mp3];高的;gāo de;gōu dīk;उच्च;متوسط;высоко;উচ্চ;高い
hill;vocab-hill.jpg;"<img src=""vocab-hill.jpg"">";hill;colina;colina;colline;vocab-french-colline.mp3;[sound:vocab-french-colline.mp3];爬坡道;pápō dào;pàabō dou;पहाड़ी;تل;холм;পাহাড়;丘
history;vocab-history.jpg;"<img src=""vocab-history.jpg"">";history;historia;história;histoire;vocab-french-histoire.mp3;[sound:vocab-french-histoire.mp3];历史;lìshǐ;liksí;इतिहास;التاريخ;история;ইতিহাস;歴史
hole;vocab-hole.jpg;"<img src=""vocab-hole.jpg"">";hole;agujero;buraco;trou;vocab-french-trou.mp3;[sound:vocab-french-trou.mp3];孔;kǒng;húng;छेद;الفجوة;дыра;গর্ত;穴
horse;vocab-horse.jpg;"<img src=""vocab-horse.jpg"">";horse;caballo;cavalo;cheval;vocab-french-cheval.mp3;[sound:vocab-french-cheval.mp3];马;mǎ;mǎa;घोड़ा;حصان;лошадь;ঘোড়া;うま
hospital;vocab-hospital.jpg;"<img src=""vocab-hospital.jpg"">";hospital;hospital;hospital;hôpital;vocab-french-hôpital.mp3;[sound:vocab-french-hôpital.mp3];医院;yīyuàn;jījyún;अस्पताल;مستشفى;больница;হাসপাতাল;病院
hot;vocab-hot.jpg;"<img src=""vocab-hot.jpg"">";hot;caliente;quente;chaud;vocab-french-chaud.mp3;[sound:vocab-french-chaud.mp3];热的;rè de;jit dīk;गरम;الحار;горячей;গরম;ホット
hotel;vocab-hotel.jpg;"<img src=""vocab-hotel.jpg"">";hotel;hotel;hotel;hôtel;vocab-french-hôtel.mp3;[sound:vocab-french-hôtel.mp3];酒店;jiǔdiàn;záudîm;होटल;الفندق;гостиница;হোটেল;ホテル
hour;vocab-hour.jpg;"<img src=""vocab-hour.jpg"">";hour;hora;hora;heure;vocab-french-heure.mp3;[sound:vocab-french-heure.mp3];小时;xiǎoshí;síusì;इस घंटे;ساعة;час;ঘন্টা;時間
house;vocab-house.jpg;"<img src=""vocab-house.jpg"">";house;casa;casa;maison;vocab-french-maison.mp3;[sound:vocab-french-maison.mp3];房子;fángzi;fòngzí;मकान;بيت;жилой дом;গৃহ;家
human;vocab-human.jpg;"<img src=""vocab-human.jpg"">";human;humano;humano;humain;vocab-french-humain.mp3;[sound:vocab-french-humain.mp3];人类;rénlèi;jànleoi;मानव;بشري;человек;মানবীয়;人間
hundred;vocab-hundred.jpg;"<img src=""vocab-hundred.jpg"">";hundred;cien;centenas;cent;vocab-french-cent.mp3;[sound:vocab-french-cent.mp3];百;bǎi;bâak;सौ;مائة;сто;শত;百
husband;vocab-husband.jpg;"<img src=""vocab-husband.jpg"">";husband;marido;esposo;mari;vocab-french-mari.mp3;[sound:vocab-french-mari.mp3];丈夫;zhàngfu;zoengfū;पति;الزوج;муж;স্বামী;夫
I;vocab-I.jpg;"<img src=""vocab-I.jpg"">";I;yo;eu;je;vocab-french-je.mp3;[sound:vocab-french-je.mp3];我;wǒ;ngǒ;मैं;أنا;я;আমি;私
ice;vocab-ice.jpg;"<img src=""vocab-ice.jpg"">";ice;hielo;gelo;glace;vocab-french-glace.mp3;[sound:vocab-french-glace.mp3];冰;bīng;bīng;बर्फ;جليد;лед;বরফ;氷
idea;vocab-idea.jpg;"<img src=""vocab-idea.jpg"">";idea;idea;ideia;idée;vocab-french-idée.mp3;[sound:vocab-french-idée.mp3];主意;zhǔyi;zyújî;विचार;فكرة;идея;ধারণা;考え
image;vocab-image.jpg;"<img src=""vocab-image.jpg"">";image;imagen;imagem;image;vocab-french-image.mp3;[sound:vocab-french-image.mp3];图像;túxiàng;tòuzoeng;छवि;صورة;изображение;চিত্র;画像
inch;vocab-inch.jpg;"<img src=""vocab-inch.jpg"">";inch;pulgada;polegada;pouce;vocab-french-pouce.mp3;[sound:vocab-french-pouce.mp3];英寸;yīngcùn;jīngcyûn;इंच;بوصة;дюйм;ইঞ্চি;インチ
injury;vocab-injury.jpg;"<img src=""vocab-injury.jpg"">";injury;lesión;ferimentos;blessure;vocab-french-blessure.mp3;[sound:vocab-french-blessure.mp3];受伤;shòushāng;sausōeng;चोट;إصابة;травма, повреждение;আঘাত;けが
inside;vocab-inside.jpg;"<img src=""vocab-inside.jpg"">";inside;dentro;dentro de;intérieur;vocab-french-intérieur.mp3;[sound:vocab-french-intérieur.mp3];里面;lǐmiàn;lěoimin;के भीतर;داخل;внутри;ভিতরে;屋内に
instrument;vocab-instrument.jpg;"<img src=""vocab-instrument.jpg"">";instrument;instrumento;instrumento;instrument;vocab-french-instrument.mp3;[sound:vocab-french-instrument.mp3];仪器;yíqì;jìhêi;यंत्र;أداة;инструмент;যন্ত্র;器械
island;vocab-island.jpg;"<img src=""vocab-island.jpg"">";island;isla;ilha;île;vocab-french-île.mp3;[sound:vocab-french-île.mp3];岛;dǎo;dóu;द्वीप;جزيرة;остров;দ্বীপ;島
it;vocab-it.jpg;"<img src=""vocab-it.jpg"">";it;eso;isso;il;vocab-french-il.mp3;[sound:vocab-french-il.mp3];它;tā;tāa;यह;NA;он;এটা;それ
January;vocab-January.jpg;"<img src=""vocab-January.jpg"">";January;enero;janeiro;janvier;vocab-french-janvier.mp3;[sound:vocab-french-janvier.mp3];一月;yīyuè;jātjyut;जनवरी;يناير;январь;জানুয়ারী;1月
job;vocab-job.jpg;"<img src=""vocab-job.jpg"">";job;trabajo;trabalho;travail;vocab-french-travail.mp3;[sound:vocab-french-travail.mp3];工作;gōngzuò;gūngzôk;काम;وظيفة;работа;কাজ;ジョブ
juice;vocab-juice.jpg;"<img src=""vocab-juice.jpg"">";juice;jugo;sumo;jus;vocab-french-jus.mp3;[sound:vocab-french-jus.mp3];果汁;guǒzhī;gwózāp;रस;عصير;сок;রস;ジュース
July;vocab-July.jpg;"<img src=""vocab-July.jpg"">";July;julio;julho;juillet;vocab-french-juillet.mp3;[sound:vocab-french-juillet.mp3];七月;qīyuè;cātjyut;जुलाई;تموز;июль;জুলাই;七月
jump;vocab-jump.jpg;"<img src=""vocab-jump.jpg"">";jump;saltar;pular;sauter;vocab-french-sauter.mp3;[sound:vocab-french-sauter.mp3];跳;tiào;tîu;कूदना;لتقفز;прыгать;লাফ দিতে;ジャンプする
June;vocab-June.jpg;"<img src=""vocab-June.jpg"">";June;junio;junho;juin;vocab-french-juin.mp3;[sound:vocab-french-juin.mp3];六月;liùyuè;lukjyut;जून;يونيو;июнь;জুন;六月
key;vocab-key.jpg;"<img src=""vocab-key.jpg"">";key;llave;chave;clé;vocab-french-clé.mp3;[sound:vocab-french-clé.mp3];钥匙;yàoshi;joeksì;चाभी;مفتاح;ключ;মূল;キー
kill;vocab-kill.jpg;"<img src=""vocab-kill.jpg"">";kill;matar;mate;tuer;vocab-french-tuer.mp3;[sound:vocab-french-tuer.mp3];杀;shā;sâat;मार;قتل;убийство;হত্যা;殺します
kilogram;vocab-kilogram.jpg;"<img src=""vocab-kilogram.jpg"">";kilogram;kilogramo;quilograma;kilogramme;vocab-french-kilogramme.mp3;[sound:vocab-french-kilogramme.mp3];公斤;gōngjīn;gūnggān;किलोग्राम;كيلوغرام;килограмм;কিলোগ্রাম;キログラム
king;vocab-king.jpg;"<img src=""vocab-king.jpg"">";king;rey;rei;roi;vocab-french-roi.mp3;[sound:vocab-french-roi.mp3];国王;guówáng;gwôkwòng;राजा;ملك;король;রাজা;キング
kiss;vocab-kiss.jpg;"<img src=""vocab-kiss.jpg"">";kiss;beso;beijo;embrasser;vocab-french-embrasser.mp3;[sound:vocab-french-embrasser.mp3];吻;wěn;mǎn;चुम्मा;قبلة;целовать;চুম্বন;接吻
kitchen;vocab-kitchen.jpg;"<img src=""vocab-kitchen.jpg"">";kitchen;cocina;cozinha;cuisine;vocab-french-cuisine.mp3;[sound:vocab-french-cuisine.mp3];厨房;chúfáng;cyùfóng;रसोई;مطبخ;кухня;রান্নাঘর;キッチン
knee;vocab-knee.jpg;"<img src=""vocab-knee.jpg"">";knee;rodilla;joelho;le genou;vocab-french-le genou.mp3;[sound:vocab-french-le genou.mp3];膝盖;xīgài;sātgôi;घुटना;ركبة;колено;হাঁটু;膝
knife;vocab-knife.jpg;"<img src=""vocab-knife.jpg"">";knife;cuchillo;faca;couteau;vocab-french-couteau.mp3;[sound:vocab-french-couteau.mp3];刀;dāo;dōu;चाकू;سكين;нож;ছুরি;ナイフ
lake;vocab-lake.jpg;"<img src=""vocab-lake.jpg"">";lake;lago;lago;lac;vocab-french-lac.mp3;[sound:vocab-french-lac.mp3];湖;hú;wù;झील;بحيرة;озеро;হ্রদ;湖
lamp;vocab-lamp.jpg;"<img src=""vocab-lamp.jpg"">";lamp;lámpara;luminária;lampe;vocab-french-lampe.mp3;[sound:vocab-french-lampe.mp3];灯;dēng;dāng;दीपक;مصباح;напольная лампа;বাতি;ランプ
language;vocab-language.jpg;"<img src=""vocab-language.jpg"">";language;idioma;idioma;langue;vocab-french-langue.mp3;[sound:vocab-french-langue.mp3];语言;yǔyán;jyǔjìn;भाषा: हिन्दी;لغة;язык;ভাষা;言語
laptop;vocab-laptop.jpg;"<img src=""vocab-laptop.jpg"">";laptop;ordenador portátil;computador portátil;portable;vocab-french-portable.mp3;[sound:vocab-french-portable.mp3];笔记本电脑;bǐjìběndiànnǎo;bātgêibúndinnǒu;लैपटॉप;كمبيوتر محمول;ноутбук;ল্যাপটপ;ノートパソコン
last;vocab-last.jpg;"<img src=""vocab-last.jpg"">";last;último;último;dernier;vocab-french-dernier.mp3;[sound:vocab-french-dernier.mp3];最末的;zuìmò de;zêoimut dīk;पिछले;أخير;последний;শেষ;最後の
laugh;vocab-laugh.jpg;"<img src=""vocab-laugh.jpg"">";laugh;reír;rir;rire;vocab-french-rire.mp3;[sound:vocab-french-rire.mp3];笑;xiào;sîu;हंसना;لتضحك;смеяться;হাসি থেকে;笑う
lawyer;vocab-lawyer.jpg;"<img src=""vocab-lawyer.jpg"">";lawyer;abogado;advogado;avocat;vocab-french-avocat.mp3;[sound:vocab-french-avocat.mp3];律师;lǜshī;leotsī;प्रतिनिधि;محامي;адвокат;অ্যাটর্নি;代理人
leaf;vocab-leaf.jpg;"<img src=""vocab-leaf.jpg"">";leaf;hoja;folha;feuille;vocab-french-feuille.mp3;[sound:vocab-french-feuille.mp3];叶子;yèzi;jipzí;लीफ;ورقة الشجر;лист;গাছের পাতা;葉
learn;vocab-learn.jpg;"<img src=""vocab-learn.jpg"">";learn;aprender;aprender;apprendre;vocab-french-apprendre.mp3;[sound:vocab-french-apprendre.mp3];学习;xuéxí;hokzaap;सीखना;يتعلم;учиться;শেখা;学びます
left;vocab-left.jpg;"<img src=""vocab-left.jpg"">";left;izquierda;deixou;gauche;vocab-french-gauche.mp3;[sound:vocab-french-gauche.mp3];剩下;shèngxià;zinghaa;बाएं;اليسار;оставили;বাম;左
leg;vocab-leg.jpg;"<img src=""vocab-leg.jpg"">";leg;pierna;perna;jambe;vocab-french-jambe.mp3;[sound:vocab-french-jambe.mp3];腿;tuǐ;téoi;टांग;ساق;нога;পা;脚
lemon;vocab-lemon.jpg;"<img src=""vocab-lemon.jpg"">";lemon;limón;limão;citron;vocab-french-citron.mp3;[sound:vocab-french-citron.mp3];柠檬;níngméng;nìngmūng;नींबू;ليمون;лимон;লেবু;レモン
letter;vocab-letter.jpg;"<img src=""vocab-letter.jpg"">";letter;carta;carta;lettre;vocab-french-lettre.mp3;[sound:vocab-french-lettre.mp3];信;xìn;sêon;पत्र;رسالة;письмо;চিঠি;文字
library;vocab-library.jpg;"<img src=""vocab-library.jpg"">";library;biblioteca;biblioteca;bibliothèque;vocab-french-bibliothèque.mp3;[sound:vocab-french-bibliothèque.mp3];图书馆;túshūguǎn;tòusyūgún;पुस्तकालय;مكتبة;библиотека;গ্রন্থাগার;図書館
lie down;vocab-lie down.jpg;"<img src=""vocab-lie down.jpg"">";lie down;acostarse;deitar-se;s'allonger;vocab-french-s'allonger.mp3;[sound:vocab-french-s'allonger.mp3];躺下;tǎng xià;tóng haa;नीचे लिटाना;ليستلقي;лечь;শোয়া;横になります
lift;vocab-lift.jpg;"<img src=""vocab-lift.jpg"">";lift;levantar;levantar;soulever;vocab-french-soulever.mp3;[sound:vocab-french-soulever.mp3];举起;jǔqǐ;géoihéi;उठा देना;لرفع;поднимать;উত্তোলন করতে;リフトへ
light (brightness);vocab-light (brightness).jpg;"<img src=""vocab-light (brightness).jpg"">";light;claro;claro;clair;vocab-french-clair.mp3;[sound:vocab-french-clair.mp3];清除;qīngchú;cīngcèoi;स्पष्ट;ضوء;чисто;স্পষ্ট;晴れ
light (noun);vocab-light (noun).jpg;"<img src=""vocab-light (noun).jpg"">";light;luz;luz;lumière;vocab-french-lumière.mp3;[sound:vocab-french-lumière.mp3];光;guāng;gwōng;रोशनी;إضاءة;свет;আলো;光
light (weight);vocab-light (weight).jpg;"<img src=""vocab-light (weight).jpg"">";light;ligero;leve;léger;vocab-french-léger.mp3;[sound:vocab-french-léger.mp3];光;guāng;gwōng;रोशनी;خفيف;свет;আলো;光
lip;vocab-lip.jpg;"<img src=""vocab-lip.jpg"">";lip;labio;lábio;lèvre;vocab-french-lèvre.mp3;[sound:vocab-french-lèvre.mp3];唇;chún;sèon;ओंठ;شفة;губа;ঠোঁট;リップ
listen;vocab-listen.jpg;"<img src=""vocab-listen.jpg"">";listen;escuchar;ouvir;écouter;vocab-french-écouter.mp3;[sound:vocab-french-écouter.mp3];听;tīng;tîng;बात सुनो;استمع;слушать;শোনা;聴く
location;vocab-location.jpg;"<img src=""vocab-location.jpg"">";location;ubicación;localização;lieu;vocab-french-lieu.mp3;[sound:vocab-french-lieu.mp3];地点;dìdiǎn;deidím;स्थान;موقع;место расположения;অবস্থান;ロケーション
lock;vocab-lock.jpg;"<img src=""vocab-lock.jpg"">";lock;candado;cadeado;cadenas;vocab-french-cadenas.mp3;[sound:vocab-french-cadenas.mp3];挂锁;guàsuǒ;gwâasó;ताला;قفل;замок навесной;কুলুপ;南京錠
long;vocab-long.jpg;"<img src=""vocab-long.jpg"">";long;largo;longo;long;vocab-french-long.mp3;[sound:vocab-french-long.mp3];长;cháng;còeng;लंबा;طويل;длинный;দীর্ঘ;長いです
loose;vocab-loose.jpg;"<img src=""vocab-loose.jpg"">";loose;suelto;solto;ample;vocab-french-ample.mp3;[sound:vocab-french-ample.mp3];疏松;shūsōng;sōsūng;ढीला;مرتخي;свободный;আলগা;緩いです
lose;vocab-lose.jpg;"<img src=""vocab-lose.jpg"">";lose;perder;perder;perdre;vocab-french-perdre.mp3;[sound:vocab-french-perdre.mp3];失去;shīqù;sāthêoi;खोने के लिए;لتخسر;терять;হারান;失う
lost;vocab-lost.jpg;"<img src=""vocab-lost.jpg"">";lost;perdido;perdido;perdu;vocab-french-perdu.mp3;[sound:vocab-french-perdu.mp3];丢失的;diūshī de;dīusāt dīk;खोया हुआ;ضائع;потерял;নিখোঁজ;失われました
loud;vocab-loud.jpg;"<img src=""vocab-loud.jpg"">";loud;ruidoso;alto;bruyant;vocab-french-bruyant.mp3;[sound:vocab-french-bruyant.mp3];响;xiǎng;hóeng;जोर;بصوت عال;громко;অট্ট;うるさいです
love;vocab-love.jpg;"<img src=""vocab-love.jpg"">";love;amar;amar;aimer;vocab-french-aimer.mp3;[sound:vocab-french-aimer.mp3];爱;ài;ôi;प्यार करने के लिए;يحب;любить;ভালবাসতে;愛する
low;vocab-low.jpg;"<img src=""vocab-low.jpg"">";low;bajo;baixo;bas;vocab-french-bas.mp3;[sound:vocab-french-bas.mp3];低的;dī de;dāi dīk;कम;قليل;низкий;কম;低いです
lucky;vocab-lucky.jpg;"<img src=""vocab-lucky.jpg"">";lucky;suertudo;afortunado;chanceux;vocab-french-chanceux.mp3;[sound:vocab-french-chanceux.mp3];幸运的;xìngyùn de;hangwan dīk;मुक़द्दर का सिकंदर;محظوظ;счастливчик;ভাগ্যবান;幸運な
lunch;vocab-lunch.jpg;"<img src=""vocab-lunch.jpg"">";lunch;almuerzo;almoço;déjeuner;vocab-french-déjeuner.mp3;[sound:vocab-french-déjeuner.mp3];午餐;wǔcān;ngcāan;दोपहर का भोजन;غداء;обед;মধ্যাহ্নভোজ;ランチ
magazine;vocab-magazine.jpg;"<img src=""vocab-magazine.jpg"">";magazine;revista;revista;magazine;vocab-french-magazine.mp3;[sound:vocab-french-magazine.mp3];杂志;zázhì;zaapzî;पत्रिका;مجلة;журнал;পত্রিকা;マガジン
male;vocab-male.jpg;"<img src=""vocab-male.jpg"">";male;masculino;masculino;masculin;vocab-french-masculin.mp3;[sound:vocab-french-masculin.mp3];男性;nánxìng;nàamsîng;पुरुष;الذكر;мужчина;পুরুষ;男性
man;vocab-man.jpg;"<img src=""vocab-man.jpg"">";man;hombre;homen;homme;vocab-french-homme.mp3;[sound:vocab-french-homme.mp3];男人;nánrén;nàamjàn;पु रूप;رجل;человек;মানুষ;おとこ
manager;vocab-manager.jpg;"<img src=""vocab-manager.jpg"">";manager;gerente;gerente;directeur;vocab-french-directeur.mp3;[sound:vocab-french-directeur.mp3];经理;jīnglǐ;gīnglěi;मैनेजर;إدارة;управляющий делами;ব্যবস্থাপক;マネージャー
map;vocab-map.jpg;"<img src=""vocab-map.jpg"">";map;mapa;mapa;carte;vocab-french-carte.mp3;[sound:vocab-french-carte.mp3];地图;dìtú;deitòu;नक्शा;خريطة;карта;মানচিত্র;地図
March;vocab-March.jpg;"<img src=""vocab-March.jpg"">";March;marzo;março;mars;vocab-french-mars.mp3;[sound:vocab-french-mars.mp3];行进;xíngjìn;hàngzêon;जुलूस;مارس;марш;মার্চ;行進
market;vocab-market.jpg;"<img src=""vocab-market.jpg"">";market;mercado;mercado;marché;vocab-french-marché.mp3;[sound:vocab-french-marché.mp3];市场;shìchǎng;sǐcòeng;मंडी;سوق;рынок;বাজার;市場
marriage;vocab-marriage.jpg;"<img src=""vocab-marriage.jpg"">";marriage;matrimonio;casado;mariage;vocab-french-mariage.mp3;[sound:vocab-french-mariage.mp3];婚姻;hūnyīn;fānjān;शादी;زواج;брак;বিবাহ;結婚
marry;vocab-marry.jpg;"<img src=""vocab-marry.jpg"">";marry;casar;casar;marier;vocab-french-marier.mp3;[sound:vocab-french-marier.mp3];结婚;jiéhūn;#ERROR!;शादी कर;تزوج;выйти замуж;বিবাহ করা;結婚します
material;vocab-material.jpg;"<img src=""vocab-material.jpg"">";material;material;material;matériel;vocab-french-matériel.mp3;[sound:vocab-french-matériel.mp3];材料;cáiliào;còilíu;सामग्री;مواد;материал;উপাদান;材料
May;vocab-May.jpg;"<img src=""vocab-May.jpg"">";May;mayo;maio;peut;vocab-french-peut.mp3;[sound:vocab-french-peut.mp3];可能;kěnéng;hónàng;मई;يمكن;май;মে;五月
mean;vocab-mean.jpg;"<img src=""vocab-mean.jpg"">";mean;significar;significar;signifier;vocab-french-signifier.mp3;[sound:vocab-french-signifier.mp3];意味着;yìwèizhe;jîmeizoek;का मतलब;أن يعني;значить;মানে;意味する
medicine;vocab-medicine.jpg;"<img src=""vocab-medicine.jpg"">";medicine;medicina;medicamento;médicament;vocab-french-médicament.mp3;[sound:vocab-french-médicament.mp3];药物;yàowù;joekmat;दवा;دواء;лекарство;ওষুধ;薬
melt;vocab-melt.jpg;"<img src=""vocab-melt.jpg"">";melt;derretir;fundição;fondre;vocab-french-fondre.mp3;[sound:vocab-french-fondre.mp3];熔化;rónghuà;jùngfâa;पिघल;إنصهار;таять;দ্রবীভূত করা;メルト
message;vocab-message.jpg;"<img src=""vocab-message.jpg"">";message;mensaje;mensagem;message;vocab-french-message.mp3;[sound:vocab-french-message.mp3];信息;xìnxī;sêonsīk;संदेश;رسالة;сообщение;বার্তা;メッセージ
metal;vocab-metal.jpg;"<img src=""vocab-metal.jpg"">";metal;metal;metal;métal;vocab-french-métal.mp3;[sound:vocab-french-métal.mp3];金属;jīnshǔ;gāmsuk;धातु;فلز;металл;ধাতু;金属
meter;vocab-meter.jpg;"<img src=""vocab-meter.jpg"">";meter;metro;metro;mètre;vocab-french-mètre.mp3;[sound:vocab-french-mètre.mp3];仪表;yíbiǎo;jìbíu;मीटर;متر;метр;মিটার;メートル
milk;vocab-milk.jpg;"<img src=""vocab-milk.jpg"">";milk;leche;leite;lait;vocab-french-lait.mp3;[sound:vocab-french-lait.mp3];牛奶;niúnǎi;ngàunǎai;दूध;حليب;молоко;দুধ;ミルク
million;vocab-million.jpg;"<img src=""vocab-million.jpg"">";million;millón;milhão;million;vocab-french-million.mp3;[sound:vocab-french-million.mp3];百万;bǎiwàn;bâakmaan;दस लाख;مليون;миллиона;মিলিয়ন;百万
minute;vocab-minute.jpg;"<img src=""vocab-minute.jpg"">";minute;minuto;minuto;minute;vocab-french-minute.mp3;[sound:vocab-french-minute.mp3];分钟;fēnzhōng;fānzūng;मिनट;دقيقة;минут;মিনিট;分
mix;vocab-mix.jpg;"<img src=""vocab-mix.jpg"">";mix;mezclar;misturar;mélanger;vocab-french-mélanger.mp3;[sound:vocab-french-mélanger.mp3];混合;hùnhé;wanhap;मिक्स;مزج;смешивание;মিশ্রণ;ミックス
Monday;vocab-Monday.jpg;"<img src=""vocab-Monday.jpg"">";Monday;lunes;segunda-feira;lundi;vocab-french-lundi.mp3;[sound:vocab-french-lundi.mp3];周一;zhōuyī;zāujāt;सोमवार;الاثنين;понедельник;সোমবার;月曜
money;vocab-money.jpg;"<img src=""vocab-money.jpg"">";money;dinero;dinheiro;argent;vocab-french-argent.mp3;[sound:vocab-french-argent.mp3];钱;qián;cín;पैसे;مال;деньги;টাকা;お金
month;vocab-month.jpg;"<img src=""vocab-month.jpg"">";month;mes;mês;mois;vocab-french-mois.mp3;[sound:vocab-french-mois.mp3];月;yuè;jyut;महीना;شهر;месяц;মাস;月
moon;vocab-moon.jpg;"<img src=""vocab-moon.jpg"">";moon;luna;lua;lune;vocab-french-lune.mp3;[sound:vocab-french-lune.mp3];月亮;yuèliang;jyutloeng;चांद;القمر;луна;চাঁদ;月
morning;vocab-morning.jpg;"<img src=""vocab-morning.jpg"">";morning;mañana;manhã;matin;vocab-french-matin.mp3;[sound:vocab-french-matin.mp3];早晨;zǎochén;zóusàn;सुबह;صباح;утро;সকাল;朝
